query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
ACM49089.1	gnl|CDD|227340	30.909	55	36	1	99	151	26	80	1.61e-04	35.8	34	COG5007	K					Predicted transcriptional regulator, BolA superfamily
ACM49091.1	gnl|CDD|223660	44.444	1125	587	19	6	1099	4	1121	0.0	1178	97	COG0587	L					DNA polymerase III, alpha subunit
ACM49091.1	gnl|CDD|225087	21.209	844	439	44	161	876	697	1442	1.26e-11	66.2	69	COG2176	L					DNA polymerase III, alpha subunit (gram-positive type)
ACM49091.1	gnl|CDD|225087	27.419	62	45	0	7	68	337	398	0.002	39.6	69	COG2176	L					DNA polymerase III, alpha subunit (gram-positive type)
ACM49092.1	gnl|CDD|223206	25.698	358	223	12	52	394	40	369	9.31e-29	114	74	COG0128	E					5-enolpyruvylshikimate-3-phosphate synthase
ACM49092.1	gnl|CDD|223837	26.829	82	53	3	221	302	199	273	0.007	35.6	18	COG0766	M					UDP-N-acetylglucosamine enolpyruvyl transferase
ACM49093.1	gnl|CDD|224920	34.646	127	78	2	4	126	1	126	4.33e-14	61.2	97	COG2009	C					Succinate dehydrogenase/fumarate reductase, cytochrome b subunit
ACM49094.1	gnl|CDD|225053	25.243	103	72	2	12	110	13	114	4.24e-08	44.9	85	COG2142	C					Succinate dehydrogenase, hydrophobic anchor subunit
ACM49096.1	gnl|CDD|223428	46.341	246	122	7	15	253	20	262	2.48e-79	237	92	COG0351	H					Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
ACM49096.1	gnl|CDD|225149	25.325	154	104	3	94	241	107	255	1.48e-09	54.2	57	COG2240	H					Pyridoxal/pyridoxine/pyridoxamine kinase
ACM49096.1	gnl|CDD|225056	29.630	135	72	6	90	214	84	205	2.67e-05	41.5	48	COG2145	H					Hydroxyethylthiazole kinase, sugar kinase family
ACM49096.1	gnl|CDD|224030	26.744	172	81	9	74	229	137	279	2.28e-04	38.7	60	COG1105	G					Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)
